GENDER,AGE_BAND,variable,value,YEAR
Male,36-40,pop_2023_c,1883561,2023
Male,41-45,pop_2023_c,1807017,2023
Male,46-50,pop_2023_c,1714236,2023
Male,51-55,pop_2023_c,1893107,2023
Male,56-60,pop_2023_c,1878881,2023
Male,61-65,pop_2023_c,1644305,2023
Male,66-70,pop_2023_c,1350246,2023
Male,71-75,pop_2023_c,1232794,2023
Male,76-80,pop_2023_c,1021105,2023
Male,81-85,pop_2023_c,588281,2023
Male,86+,pop_2023_c,451457,2023
